id	code	category	name	made	weight	nutrients
0	N000001	수산물	가다랑어	부산	70.3	수분(g)
1	N000004	수산물	가다랑어-레토르트식품(기름담금)	통영,알래스카산	68.6	수분(g)
2	N000008	수산물	가다랑어-통조림(기름담금)	통영,알래스카산	64.9	수분(g)
3	N000009	수산물	가다랑어-포	통영,알래스카산	18	수분(g)
4	N000011	수산물	가라지	여수	81.5	수분(g)
5	N000012	수산물	가래상어	부산	75.5	수분(g)
6	N000013	수산물	가무락조개	부산	79.9	수분(g)
7	N000014	수산물	가물치	대전	79.6	수분(g)
8	N000016	수산물	가시망둑	부산	75.4	수분(g)
9	N000017	수산물	가시발새우	부산	81.7	수분(g)
10	N000018	수산물	가시베도라치	포항	80.7	수분(g)
11	N000019	수산물	가재	부산	74.1	수분(g)
12	N000020	수산물	각시가자미	부산	80.6	수분(g)
13	N000021	수산물	각시돔	부산	77.7	수분(g)
14	N000022	수산물	각시서대	여수	78.2	수분(g)
15	N000023	수산물	각시수랑	부산	80	수분(g)
16	N000024	수산물	각시흰새우	부산	77.8	수분(g)
17	N000025	수산물	갈가자미	포항	79.1	수분(g)
18	N000026	수산물	갈고리흰오징어	동해	81.6	수분(g)
19	N000028	수산물	갈래곰보	전국(대표)	93.5	수분(g)
20	N000029	수산물	갈색고리돼지고둥	부산	76.9	수분(g)
21	N000030	수산물	갈색띠매물고둥	부산	79.2	수분(g)
22	N000031	수산물	갈전갱이	부산	76	수분(g)
23	N000032	수산물	갈치	인천	72.7	수분(g)
24	N000033	수산물	갈치-속젓갈	진주	46.6	수분(g)
25	N000034	수산물	갈치-얼간품	전국(대표)	57.2	수분(g)
26	N000035	수산물	갈치-젓갈	통영,알래스카산	49.5	수분(g)
27	N000037	수산물	감성돔	여수	76.7	수분(g)
28	N000038	수산물	강담돔	부산	78.5	수분(g)
29	N000042	수산물	강준치	부산	78.8	수분(g)
30	N000044	수산물	개량조개	군산	84	수분(g)
31	N000045	수산물	개량조개-소건품	전국(대표)	26.3	수분(g)
32	N000047	수산물	개볼락	여수	78.7	수분(g)
33	N000048	수산물	개불	부산	85.3	수분(g)
34	N000049	수산물	개서대	여수	79	수분(g)
35	N000050	수산물	개조개	부산	82.6	수분(g)
36	N000051	수산물	갯가재	부산	79.3	수분(g)
37	N000053	수산물	갯장어	통영,알래스카산	70.5	수분(g)
38	N000055	수산물	거북등안장멍게	부산	84	수분(g)
39	N000057	수산물	검복	강릉	76.7	수분(g)
40	N000058	수산물	게르치	부산	70.5	수분(g)
41	N000059	수산물	고등어	부산	72.7	수분(g)
42	N000059	수산물	고등어	부산	70.3	수분(g)
43	N000059	수산물	고등어	부산	68.8	수분(g)
44	N000059	수산물	고등어	부산	62.1	수분(g)
45	N000059	수산물	고등어	부산	68.1	수분(g)
46	N000064	수산물	고등어-염건품	통영,알래스카산	67	수분(g)
47	N000065	수산물	고등어-염장품	전국(대표)	54.2	수분(g)
48	N000067	수산물	고등어-통조림(보일드)	통영,알래스카산	65.9	수분(g)
49	N000072	수산물	고무꺽정이	포항	79.9	수분(g)
50	N000074	수산물	곱상어	여수	72	수분(g)
51	N000075	수산물	곳체다슬기	문경	81.9	수분(g)
52	N000076	수산물	관절매물고둥	구룡포	74.2	수분(g)
53	N000077	수산물	광동홍어	남해서부-EEZ(239)	74	수분(g)
54	N000078	수산물	괴도라치	포항	81.3	수분(g)
55	N000079	수산물	구갈돔	부산	77.9	수분(g)
56	N000082	수산물	국매리복	군산	77.4	수분(g)
57	N000083	수산물	군소	부산	90.1	수분(g)
58	N000084	수산물	군평선이	부산	77.4	수분(g)
59	N000085	수산물	궁제기서대	부산	78.4	수분(g)
60	N000086	수산물	그물베도라치	부산	74.8	수분(g)
61	N000087	수산물	기름가자미	강릉	79.4	수분(g)
62	N000088	수산물	기름가자미-소건품	부산	72.4	수분(g)
63	N000092	수산물	기름종개	부산	75.8	수분(g)
64	N000093	수산물	긴고둥	부산	73.6	수분(g)
65	N000094	수산물	긴꼬리벵에돔	제주	77.2	수분(g)
66	N000095	수산물	긴뿔천길새우	전국(대표)	77.3	수분(g)
67	N000097	수산물	까나리	통영,알래스카산	76.4	수분(g)
68	N000098	수산물	까나리-액젓	통영,알래스카산	68.8	수분(g)
69	N000099	수산물	까치복	군산	78.6	수분(g)
70	N000100	수산물	까치상어	여수	73	수분(g)
71	N000101	수산물	까칠복	포항	79	수분(g)
72	N000103	수산물	꺽저기	부산	78.2	수분(g)
73	N000104	수산물	꼬막	부산	82.9	수분(g)
74	N000105	수산물	꼬시래기	전국(대표)	89.1	수분(g)
75	N000106	수산물	꼬치고기	부산	76.5	수분(g)
76	N000107	수산물	꼼치	강릉	82.4	수분(g)
77	N000108	수산물	꼽새돔	부산	77.4	수분(g)
78	N000109	수산물	꽁지양태	부산	81	수분(g)
79	N000110	수산물	꽁치	강릉	70.9	수분(g)
80	N000111	수산물	꽁치-동건품	포항	35.5	수분(g)
81	N000113	수산물	꽁치-통조림(조미)	통영,알래스카산	57.6	수분(g)
82	N000114	수산물	꽃게	인천	81.4	수분(g)
83	N000118	수산물	꽃새우-자건품	전국(대표)	18	수분(g)
84	N000120	수산물	나비가오리	부산	78.7	수분(g)
85	N000121	수산물	나팔고둥	부산	73.8	수분(g)
86	N000122	수산물	낙지	여수	80.7	수분(g)
87	N000125	수산물	날개다랑어-통조림(기름담금)	통영,알래스카산	66.8	수분(g)
88	N000126	수산물	날치	부산	75.8	수분(g)
89	N000132	수산물	납작파래	전국(대표)	87.6	수분(g)
90	N000133	수산물	납지리	부산	80.1	수분(g)
91	N000135	수산물	넙치	여수	75.2	수분(g)
92	N000141	수산물	네동가리	부산	79.2	수분(g)
93	N000142	수산물	노랑가오리	부산	75.8	수분(g)
94	N000147	수산물	노랑벤자리	부산	79	수분(g)
95	N000148	수산물	노래미	통영,알래스카산	78.7	수분(g)
96	N000149	수산물	노무라입깃해파리	전국(대표)	96.9	수분(g)
97	N000151	수산물	놀래기	부산	76.2	수분(g)
98	N000152	수산물	농어	거제	78.5	수분(g)
99	N000156	수산물	누루시볼락	부산	70.5	수분(g)
100	N000157	수산물	누치	부산	77.8	수분(g)
101	N000158	수산물	눈가자미	강릉	77.8	수분(g)
102	N000159	수산물	눈강달이	인천	77.8	수분(g)
103	N000160	수산물	눈강달이-젓갈	전국(대표)	57.9	수분(g)
104	N000162	수산물	눈볼대	부산	71.2	수분(g)
105	N000163	수산물	눈양태	부산	78	수분(g)
106	N000164	수산물	눈퉁멸	부산	73.4	수분(g)
107	N000165	수산물	능성어	부산	78.3	수분(g)
108	N000167	수산물	다금바리	제주	77.5	수분(g)
109	N000168	수산물	다슬기	경기	78.6	수분(g)
110	N000169	수산물	다시마	주문진	91	수분(g)
111	N000170	수산물	다시마-소건품	전국(대표)	12.3	수분(g)
112	N000171	수산물	달강어	포항	74.7	수분(g)
113	N000172	수산물	달고기	부산	77.7	수분(g)
114	N000173	수산물	달고기-알	부산	69.6	수분(g)
115	N000174	수산물	닭게	전국(대표)	82.3	수분(g)
116	N000175	수산물	닭새우	부산	79.1	수분(g)
117	N000176	수산물	대게	전국(대표)	79.7	수분(g)
118	N000177	수산물	대게-자건품	전국(대표)	18.2	수분(g)
119	N000178	수산물	대구	부산	78.6	수분(g)
120	N000179	수산물	대구-소건품	전국(대표)	21.9	수분(g)
121	N000180	수산물	대구-수컷	부산	79.6	수분(g)
122	N000185	수산물	대구-암컷	부산	82.5	수분(g)
123	N000188	수산물	대구-조미건품(포)	통영,알래스카산	24.4	수분(g)
124	N000190	수산물	대구횟대	전국(대표)	77.2	수분(g)
125	N000191	수산물	대두어	전국(대표)	78.6	수분(g)
126	N000192	수산물	대문어	부산	85.4	수분(g)
127	N000195	수산물	대문어-소건품	전국(대표)	13.8	수분(g)
128	N000196	수산물	대수리	부산	74.3	수분(g)
129	N000197	수산물	대하	인천	80	수분(g)
130	N000198	수산물	대황-소건품	전국(대표)	11.3	수분(g)
131	N000201	수산물	도다리	여수	80.3	수분(g)
132	N000202	수산물	도도바리	여수	77.6	수분(g)
133	N000203	수산물	도루묵	부산	77.7	수분(g)
134	N000204	수산물	도화돔	부산	73.3	수분(g)
135	N000205	수산물	도화양태	부산	81.2	수분(g)
136	N000206	수산물	독가시치	부산	77.1	수분(g)
137	N000207	수산물	독돔	부산	76.6	수분(g)
138	N000208	수산물	돌가자미	인천	78	수분(g)
139	N000209	수산물	돌가자미-소건품	부산	75.2	수분(g)
140	N000211	수산물	돌돔	여수	79.5	수분(g)
141	N000214	수산물	돔발상어	여수	80	수분(g)
142	N000215	수산물	돔발상어-알	여수	50	수분(g)
143	N000217	수산물	동갈치	대구	77.9	수분(g)
144	N000218	수산물	동남참게	청평	72.4	수분(g)
145	N000219	수산물	동동갈치	부산	74.6	수분(g)
146	N000220	수산물	동사리	부산	81.1	수분(g)
147	N000221	수산물	동자개	부산	81.6	수분(g)
148	N000225	수산물	동죽	인천	82.7	수분(g)
149	N000226	수산물	돛양태	강릉	79.5	수분(g)
150	N000227	수산물	두드럭고둥	부산	77	수분(g)
151	N000228	수산물	두툽상어	부산	76.6	수분(g)
152	N000230	수산물	둑중개	부산(낙동강)	78.2	수분(g)
153	N000231	수산물	둥근돌김-소건품	전국(대표)	10.4	수분(g)
154	N000232	수산물	둥근전복	여수	78.4	수분(g)
155	N000233	수산물	드렁허리	대구	79.4	수분(g)
156	N000234	수산물	등가시치	부산	80.3	수분(g)
157	N000235	수산물	떡붕어	청평	78.4	수분(g)
158	N000237	수산물	떡조개	부산	78.3	수분(g)
159	N000239	수산물	뜸부기-소건품	전국(대표)	18.1	수분(g)
160	N000240	수산물	띠구슬다슬기	경기	70.1	수분(g)
161	N000242	수산물	만새기	부산	84.3	수분(g)
162	N000245	수산물	말백합	부산	84.3	수분(g)
163	N000246	수산물	말전복	제주	80.3	수분(g)
164	N000247	수산물	말쥐치	여수	79.9	수분(g)
165	N000248	수산물	말쥐치-조미건품	전국(대표)	18.6	수분(g)
166	N000250	수산물	망상어	여수	78.5	수분(g)
167	N000251	수산물	매끈이고둥	여수	72.6	수분(g)
168	N000252	수산물	매리복	여수	77.9	수분(g)
169	N000254	수산물	매생이-소건품	전국(대표)	15.6	수분(g)
170	N000255	수산물	매오징어	포항	81.1	수분(g)
171	N000256	수산물	매퉁이	부산	77.1	수분(g)
172	N000258	수산물	먹장어	부산	75.3	수분(g)
173	N000262	수산물	메기	부산	78.4	수분(g)
174	N000264	수산물	멸치	부산	73.4	수분(g)
175	N000266	수산물	멸치-소건품-대멸	통영,알래스카산	25.3	수분(g)
176	N000267	수산물	멸치-소건품-소멸	통영,알래스카산	19.9	수분(g)
177	N000268	수산물	멸치-소건품-자멸	통영,알래스카산	30.4	수분(g)
178	N000269	수산물	멸치-소건품-중멸	통영,알래스카산	20.5	수분(g)
179	N000271	수산물	멸치-액젓	전국(대표)	68.1	수분(g)
180	N000272	수산물	멸치-자건품-대멸	부산	26.2	수분(g)
181	N000273	수산물	멸치-자건품-세멸	부산	36.8	수분(g)
182	N000275	수산물	멸치-자건품-중멸	부산	35	수분(g)
183	N000278	수산물	멸치-젓갈	신안	57.7	수분(g)
184	N000279	수산물	명태	주문진	80.3	수분(g)
185	N000281	수산물	명태-동건품(포)	통영,알래스카산	16.3	수분(g)
186	N000282	수산물	명태-명란젓	전국(대표)	66	수분(g)
187	N000284	수산물	명태-소건품(노가리)	통영,알래스카산	16.1	수분(g)
188	N000285	수산물	명태-소건품(코다리)	전국(대표)	31.1	수분(g)
